FIX_CNTL_NUMBER,OLD_NAME,NEW_NAME,PUB_DT,lat_dec_deg,lon_dec_deg,city,state
59541,ZAGUM,VAUHT,10/5/2023,34.38307028,-89.4357075,Oxford, MS
59616,CDMFJ,CFCFH,8/20/2015,41.68693111,-87.36233611,East Chicago, IN
59716,NITER,NNATE,8/15/2019,32.90765278,-96.91524167,Farmers Branch, TX
59770,DEBBB,VKTRY,3/31/2016,33.3839,-97.64171111,Alvord, TX
60165,JELVU,ANGGL,11/10/2016,42.28730528,-83.32536139,Inkster, MI
60640,MFJDD,CFBZC,6/25/2015,41.69144722,-87.46090556,East Chicago, IN
61082,MAXWL,CFBWL,12/10/2015,64.648,-150.5023333,MANLEY SPGS, AK
61176,REHKY,AYBIN,7/19/2018,46.11046944,-124.0310972,Warrenton, OR
61178,REDMY,JINOD,7/19/2018,46.23502222,-124.0109917,Warrenton, OR
61184,TEKVY,CFFDN,1/5/2017,35.67307778,-106.0454917,Santa Fe, NM
62623,OCETO,CFCDC,10/15/2015,57.74053056,-151.9613639,N/A,
63290,WISBA,JISTA,8/17/2017,47.24664417,-122.2050264,Auburn, WA
63564,ZARIS,HATLE,12/28/2023,44.10813056,-70.228425,Auburn, ME
63769,GIPYE,CFCDL,2/4/2016,33.90402778,-118.7046583,N/A,
63816,ACISU,CFCDN,2/4/2016,33.89282778,-118.8319778,Malibu, CA
63817,DITDA,CFBHJ,2/4/2016,33.90648333,-118.7023556,Malibu, CA
63901,YOPUN,RUTHV,11/3/2022,27.75720278,-82.64631389,St. Petersburg, FL
64739,OLOYI,ZIKAB,10/7/2021,21.74881389,-158.9532806,N/A,
65457,HASTY,JAYCI,4/22/2021,33.00199444,-97.05028889,Flower Mound, TX
65574,COFGI,CFCHK,8/17/2017,42.38325833,-82.81833056,Tecumseh, ON
65941,JEGIP,CFCDX,2/4/2016,34.02923611,-117.4713139,Jurupa Valley, CA
65961,JUBIT,CFCFQ,11/10/2016,44.64504444,-105.6169139,Wildcat, WY
66341,CAPOG,BBAMA,4/20/2023,33.07106389,-87.76275556,Ralph, AL
66998,FFKHH,CFBKM,8/18/2016,32.12383333,-106.7241028,La Mesa, NM
67136,DMBMZ,CFCDZ,7/21/2016,44.84178333,-124.07615,Lincoln Beach, OR
68947,YIYUY,CFVKH,4/27/2017,44.99334167,-69.09816944,Exeter, ME
69357,JATIK,CFCFD,7/21/2016,43.68755833,-110.6789667,Beaver Creek, WY
69641,IYODU,CFCFR,2/4/2016,33.90707778,-118.8346667,Malibu, CA
69739,KOYEV,CFDRL,2/4/2016,33.92259167,-118.6872556,Malibu, CA
70289,JIVRA,CFVPV,1/5/2017,47.00222778,-88.20695278,Torch Lake Township, MI
70483,YOVNU,AYRMN,12/2/2021,39.50916667,-94.64142222,Edgerton, MO
70484,ZASBO,MGEEE,12/2/2021,39.45813056,-94.65660833,Edgerton, MO
70735,BHTYR,CFCGJ,4/27/2017,40.77423889,-85.45393611,Huntington, IN
71255,PEYIB,YETVU,3/5/2015,36.31871667,-78.79209444,Moriah, NC
71256,OYICI,WEGIT,3/5/2015,36.16286944,-78.63680278,Creedmoor, NC
71261,TOCUG,ZEPLA,3/5/2015,36.56036111,-78.42066944,Clarksville, VA
71277,CIVUR,TMAAC,3/5/2015,36.40401667,-78.265675,Soul City, NC
71379,VUSCU,CFCFZ,11/10/2016,55.59287778,-132.1256167,N/A,
71424,JOMLO,PKRNA,9/15/2016,43.64558611,-91.2556,Stoddard, WI
74114,ACASU,OSMSS,9/10/2020,37.13782778,-80.23829167,Shawsville, VA
77027,AZAWI,CFCJT,5/24/2018,47.07621111,-114.80725,Riverbend, MT
77646,UBMEF,CFFPS,8/12/2021,26.73466444,-80.2149975,Royal Palm Beach, FL
77647,UJSON,FSSTR,8/10/2023,42.40183611,-114.216425,Artesian City, ID
77733,ARXEV,CFDSQ,5/24/2018,46.85194722,-114.0642861,Missoula, MT
77734,DMGWL,CFDSZ,5/24/2018,47.26211111,-114.4432056,Dixon, MT
77735,DMJYF,CFDSK,5/24/2018,46.69685556,-113.9671472,Lolo, MT
77736,AVYEH,CFDSC,5/24/2018,46.72560556,-113.9725389,Lolo, MT
77766,CLKVL,CFFLP,8/12/2021,26.72841778,-79.99451944,Palm Beach, FL
77887,ALWIJ,CFGBD,11/10/2016,47.52940444,-120.21127,Wenatchee, WA
77889,XUVDY,CFVBS,11/10/2016,47.53729472,-120.1403444,Orondo, WA
77890,GZPND,CFVBB,11/10/2016,47.48913861,-120.2679831,Wenatchee, WA
78002,AWQEV,CFVFW,11/10/2016,47.38683944,-120.1426661,Rock Island, WA
78003,EBZAJ,CFDSN,11/10/2016,47.34194278,-120.1393275,Rock Island, WA
78004,DMFEM,CFGBT,11/10/2016,47.49392722,-120.2361122,Wenatchee, WA
78010,UFIRD,CRRMN,10/15/2015,26.67898333,-80.01220278,Palm Beach, FL
78013,DONLD,RIDRR,10/15/2015,26.74921667,-79.93522222,West Palm Beach, FL
78015,IVNKA,SLIDZ,10/15/2015,26.92364167,-79.708525,N/A,
78016,TRMMP,RBACK,10/15/2015,26.81216944,-79.87153056,N/A,
78098,EQDIJ,CFBDT,12/10/2015,43.21968889,-109.0083944,Kinnear, WY
78123,AYUWA,CFLBG,11/10/2016,47.30290833,-119.9561533,Quincy, WA
78124,EMXAF,CFFZK,11/10/2016,47.31207667,-119.9792056,Appledale, WA
78133,JUTAX,YOUNT,8/10/2023,42.73777778,-87.93048611,Mount Pleasant, WI
78156,CODUT,CFTVF,10/7/2021,46.40100278,-116.855575,Lapwai, ID
78435,SAWJE,CFNQJ,10/7/2021,46.32215833,-117.1802861,Clarkston Heights-Vineland, WA
78570,HEPEL,CFTTH,10/7/2021,46.556875,-117.1373889,Colton, WA
78571,RENLE,CFTWT,10/7/2021,46.55011667,-117.1236111,Colton, WA
78572,CUGEM,CFFWX,10/7/2021,46.54023889,-117.1258194,Uniontown, WA
78573,KEDGY,CFLJN,10/7/2021,46.51585556,-117.111575,Uniontown, WA
78601,TIKAE,ACOSA,9/15/2016,38.60835278,-79.05489167,Rawley Springs, VA
78993,NAKSE,CFRZN,3/2/2017,34.11675278,-85.77613889,Leesburg, AL
79041,FESEP,ASESY,1/3/2019,30.37495556,-97.53601389,Manor, TX
79597,GUBTE,CFLTB,1/5/2017,34.05172222,-101.8315889,Hale Center, TX
80724,EGXOV,CFRQX,10/12/2017,35.20227583,-101.8116761,Amarillo, TX
80725,BBBBB,CFLTT,10/12/2017,35.14011833,-101.739095,Amarillo, TX
80726,EHHIJ,CFVHT,10/12/2017,35.23389667,-101.62033,Amarillo, TX
80727,DMBCL,CFRKC,10/12/2017,35.29648611,-101.6933025,Amarillo, TX
80729,EKQOJ,CFPGN,10/12/2017,35.29529778,-101.6989742,Amarillo, TX
80730,FEZSS,CFVST,10/12/2017,35.23629056,-101.7755433,Amarillo, TX
80731,GIWJE,CFPJH,10/12/2017,35.14807139,-101.6770339,Amarillo, TX
80732,HIQZI,CFSHJ,10/12/2017,35.20679389,-101.6002986,Amarillo, TX
80737,MMMMY,CFFLQ,10/12/2017,35.22873611,-101.5991353,Amarillo, TX
81574,LISRE,MOPVE,11/7/2019,33.68491111,-86.78113056,Gardendale, AL
81726,XAYGU,CFBLF,3/5/2015,37.38755139,-122.0155836,Sunnyvale, CA
81727,XUHEZ,CFBLQ,3/5/2015,37.38751278,-122.0155697,Sunnyvale, CA
81837,XAZAF,CFBNV,3/5/2015,37.38687639,-122.0164917,Sunnyvale, CA
82252,CEMID,CFCJL,12/7/2017,41.16801111,-73.70766667,Armonk, NY
82262,JAXUB,CFCHW,12/7/2017,41.04188889,-73.61121111,Greenwich, CT
82264,LIPXU,CFCHQ,12/7/2017,41.16998889,-73.65819722,Bedford, NY
82266,LUYXU,CFFBH,12/7/2017,41.03123889,-73.56494444,Greenwich, CT
82270,YUSCU,CFDRX,12/7/2017,41.11781667,-73.82216389,Pleasantville, NY
82929,IWXOF,CFCGW,3/2/2017,29.43376667,-98.40974722,San Antonio, TX
82981,ZAXUD,CFCHB,3/2/2017,29.49293889,-98.34959722,San Antonio, TX
82982,OLUMY,CFCGX,3/2/2017,29.52899167,-98.27836667,JBSA Randolph, TX
83027,IQOXI,CFCGZ,3/2/2017,29.50773333,-98.376075,San Antonio, TX
83311,IXIWY,CFCGS,3/2/2017,29.63584444,-98.54105556,San Antonio, TX
83312,UQOPY,CFCGV,3/2/2017,29.56116944,-98.57379167,San Antonio, TX
83488,OYVOP,CFBLP,1/8/2015,43.87653889,-102.9337528,Rapid City, SD
83806,JISAN,JERZE,12/7/2017,39.21527778,-94.75235833,Parkville, MO
83911,BXCKB,CFVQF,10/12/2017,38.49516111,-91.96338056,Loose Creek, MO
84001,BXCNB,CFDWM,1/3/2019,42.11500556,-89.34028611,Leaf River, IL
84132,BXCND,CFVNZ,9/15/2016,42.43655556,-85.09103889,Bellevue, MI
84455,CEXIK,CFDTG,7/19/2018,37.64544444,-77.42697222,Richmond, VA
84793,DMVDB,CFVDB,5/24/2018,41.62517222,-81.45564167,Willowick, OH
84993,DRFTR,BDGER,10/7/2021,47.58627222,-111.2956472,Great Falls, MT
85003,EWVOV,CFVDM,8/17/2017,47.46653611,-111.4851694,Ulm, MT
85004,SUWFY,CFRKN,8/17/2017,47.40297778,-111.3913611,Ulm, MT
85013,YIFYU,CFFPD,1/8/2015,47.55779722,-111.3470889,Great Falls, MT
85014,EZEJE,CFFPF,1/8/2015,47.49411389,-111.2533,Great Falls, MT
85015,VULUJ,CFFPG,1/8/2015,47.50086944,-111.5804194,Vaughn, MT
85315,WURIV,NUBRY,2/25/2021,42.78575556,-70.85576111,Newbury, MA
85392,TFTBP,CFCDJ,5/26/2016,34.24551389,-118.5127972,Los Angeles, CA
